name	channel	link
Maggie's Purple	1137102371172917380	https://raw.githubusercontent.com/maggster165/vendettathemes/main/maggiespurple.json
Nord	1135824724212076644	https://raw.githubusercontent.com/vorlie/VendettaThemes/main/Nord/nord.json
Purpdarkv3	1135824892575613019	https://raw.githubusercontent.com/vorlie/VendettaThemes/main/Purpdark/PurpDark_BG/Purpdark_v3.json
SeaGreen	1135825053968252969	https://raw.githubusercontent.com/vorlie/VendettaThemes/main/SeaGreen/SeaGreen.json
MediumSlateBlue	1135825255445823528	https://raw.githubusercontent.com/vorlie/VendettaThemes/main/MediumSlateBlue/MediumSlateBlue.json
RedFeathers	1135825435972870186	https://raw.githubusercontent.com/vorlie/VendettaThemes/main/MediumSlateBlue/MediumSlateBlue.json
Vision Pro	1137781580857872475	https://raw.githubusercontent.com/VodkaXMartini/VendettaTheme-Plus/main/Vision%20pro%202.0.json
Midnight-Espresso	1138099451026747402/1138099451026747402	https://raw.githubusercontent.com/VodkaXMartini/VendettaTheme-Plus/main/MidnightEspresso%20Plus.json
Lavender Heaven	1138099451026747402/1138099646720393307	https://raw.githubusercontent.com/VodkaXMartini/VendettaTheme-Plus/main/LavenderHeaven%20Plus.json
Katana	1138099451026747402/1138099827411001394	https://raw.githubusercontent.com/VodkaXMartini/VendettaTheme-Plus/main/Katana%20Plus.json
Purple Galaxy	1138099451026747402/1138100188070805575	https://raw.githubusercontent.com/VodkaXMartini/VendettaTheme-Plus/main/PurpleGalaxy%20Plus.json
Emerald Peppermint	1138099451026747402/1138100356962865212	https://raw.githubusercontent.com/VodkaXMartini/VendettaTheme-Plus/main/EmeraldPeppermint%20Plus.json
Pebble	1138099451026747402/1138100645921034240	https://raw.githubusercontent.com/VodkaXMartini/VendettaTheme-Plus/main/EmeraldPeppermint%20Plus.json
Purple Kitty	1138099451026747402/1138101958645911573	https://raw.githubusercontent.com/VodkaXMartini/VendettaTheme-Plus/main/PurpleKitty%20Plus.json
Midnight	1138416851815239791	https://raw.githubusercontent.com/VodkaXMartini/VendettaTheme-Plus/main/Midnight%20Plus.json
CityFog	1138877237857353758	https://raw.githubusercontent.com/Quinxxxx/Discord/main/Vendetta/CityFog.json